id,user_id,rating
1,314,5
1,439,3
1,588,5
3,314,3
3,588,1
4,439,5
5,314,4
6,173,5
6,314,5
6,725,5
7,439,3
7,951,5
8,588,3
9,439,3
9,588,3
9,951,1
11,439,4
11,588,4
12,314,4
12,725,4
14,951,5
15,588,4
17,314,4
17,439,5
18,439,4
18,588,5
19,588,4
19,951,5
20,314,4
20,439,5
20,588,3
21,588,4
22,314,3
22,439,3
22,588,3
23,439,2
23,588,3
24,588,4
25,588,5
26,588,3
27,439,5
27,588,4
29,314,3
29,588,3
30,314,4
30,725,4
31,314,5
31,439,4
32,951,5
33,439,3
33,588,3
34,173,1
34,368,4
35,314,4
35,439,3
35,588,4
36,314,4
37,588,3
37,951,5
38,439,4
39,314,3
39,725,4
39,951,5
40,439,1
40,588,3
40,725,4
41,314,4
41,588,3
43,951,5
44,314,3
45,439,3
45,588,4
46,314,4
46,439,4
46,588,5
47,314,5
47,588,4
48,951,5
49,314,2
49,368,2
49,588,1
49,725,4
50,588,3
50,951,5
51,314,2
52,314,2
52,368,1
52,588,1
53,588,2
54,951,4
56,314,1
56,368,1
56,588,1
59,951,5
60,588,4
61,314,3
61,588,3
61,725,3
62,588,4
63,439,3
63,951,5
64,368,2
64,439,3
64,588,3
64,725,3
65,951,5
66,314,4
66,588,4
67,439,4
67,588,4
68,173,4
68,588,3
68,725,5
69,314,4
69,725,3
70,314,4
70,725,5
70,725,4
70,951,4
74,173,4
74,725,5
75,314,3
75,439,3
76,439,3
78,35,2
78,368,3
78,439,3
79,588,3
79,951,5
80,439,4
81,439,2
81,588,4
83,588,3
83,951,5
84,314,4
85,588,4
85,951,3
86,439,3
87,439,5
88,173,3
88,725,4
89,588,4
90,951,5
91,173,2
91,314,4
92,173,5
92,368,3
92,588,4
93,439,3
94,439,5
94,588,5
96,368,2
96,725,1
98,314,3
98,439,3
98,725,4
99,368,3
100,439,4
100,951,4
101,314,3
101,588,4
102,314,4
102,439,4
102,588,4
102,951,5
103,314,5
103,439,4
103,951,3
104,314,4
105,314,3
105,725,3
106,173,2
106,314,4
106,725,4
108,35,2
108,173,3
108,368,3
108,439,3
110,314,4
110,951,5
